CR/PR,SD,POD,,CR/PR,SD/POD,,CR/PR,SD,POD,,CR/PR,SD/POD,,CR/PR,SD,POD,,CR/PR,SD/POD
0.049625937,0.864125708,0.086248355,,0.049625937,0.950374063,,0.004762662,0.977956127,0.017281211,,0.004762662,0.995237338,,0.911650376,0.026282274,0.06206735,,0.911650376,0.088349624
0.083382527,0.047373101,0.869244373,,0.083382527,0.916617473,,0.102173041,0.084979609,0.81284735,,0.102173041,0.897826959,,2.42E-05,4.03E-06,0.999971773,,2.42E-05,0.999975801
0.121178056,0.824986469,0.053835476,,0.121178056,0.878821944,,0.069167875,0.924560427,0.006271698,,0.069167875,0.930832125,,0.042227082,0.829586507,0.128186411,,0.042227082,0.957772918
0.090811594,0.875130939,0.034057467,,0.090811594,0.909188406,,0.781715564,0.141914207,0.076370228,,0.781715564,0.218284436,,0.196356475,0.80227154,0.001371985,,0.196356475,0.803643525
0.178431013,0.763298235,0.058270752,,0.178431013,0.821568987,,0.069159856,0.77900534,0.151834804,,0.069159856,0.930840144,,0.203610778,0.013870043,0.78251918,,0.203610778,0.796389222
0.990886234,0.004392055,0.004721711,,0.990886234,0.009113766,,0.82501016,0.043512627,0.131477213,,0.82501016,0.17498984,,0.076711934,0.775494158,0.147793907,,0.076711934,0.923288066
0.023077126,0.459546849,0.517376025,,0.023077126,0.976922874,,0.027876597,0.918978401,0.053145003,,0.027876597,0.972123403,,0.180219835,0.756228554,0.06355161,,0.180219835,0.819780165
0.009132688,0.915264797,0.075602515,,0.009132688,0.990867312,,0.142413767,0.796815915,0.060770318,,0.142413767,0.857586233,,0.014947887,0.770098422,0.214953691,,0.014947887,0.985052113
0.894189984,0.010796101,0.095013915,,0.894189984,0.105810016,,0.907152104,0.052531121,0.040316775,,0.907152104,0.092847896,,0.949320491,0.015592339,0.03508717,,0.949320491,0.050679509
0.007865314,0.928043418,0.064091267,,0.007865314,0.992134686,,0.136298066,0.854033379,0.009668555,,0.136298066,0.863701934,,0.02162646,0.973948485,0.004425055,,0.02162646,0.97837354
0.841460277,0.091756283,0.066783439,,0.841460277,0.158539723,,0.012147861,0.980905447,0.006946693,,0.012147861,0.987852139,,0.897197603,0.08635367,0.016448726,,0.897197603,0.102802397
0.189648151,0.042407633,0.767944216,,0.189648151,0.810351849,,0.164855408,0.003235333,0.831909258,,0.164855408,0.835144592,,0.058739845,0.029333687,0.911926467,,0.058739845,0.941260155
0.029030197,0.915234955,0.055734848,,0.029030197,0.970969803,,0.057034555,0.904692382,0.038273063,,0.057034555,0.942965445,,0.137275141,0.805478494,0.057246365,,0.137275141,0.862724859
0.006007136,0.023746683,0.970246181,,0.006007136,0.993992864,,0.161974323,0.178705742,0.659319935,,0.161974323,0.838025677,,0.005903316,0.115178046,0.878918638,,0.005903316,0.994096684
0.041034521,0.934006324,0.024959155,,0.041034521,0.958965479,,0.037034622,0.870834215,0.092131164,,0.037034622,0.962965378,,0.041850357,0.915535067,0.042614576,,0.041850357,0.958149643
0.049667289,0.900380527,0.049952184,,0.049667289,0.950332711,,0.46794371,0.528458716,0.003597574,,0.46794371,0.53205629,,0.278691128,0.551042616,0.170266256,,0.278691128,0.721308872
0.001346333,0.089369301,0.909284366,,0.001346333,0.998653667,,0.023321762,0.964252878,0.01242536,,0.023321762,0.976678238,,0.036484294,0.114039143,0.849476564,,0.036484294,0.963515706
0.005377192,0.925012622,0.069610186,,0.005377192,0.994622808,,0.050401753,0.172895834,0.776702413,,0.050401753,0.949598247,,0.151591438,0.762504454,0.085904109,,0.151591438,0.848408562
0.069937658,0.102507363,0.82755498,,0.069937658,0.930062342,,0.118000236,0.127091208,0.754908556,,0.118000236,0.881999764,,0.148727003,0.075933588,0.775339409,,0.148727003,0.851272997
0.899331626,0.072820037,0.027848337,,0.899331626,0.100668374,,0.167672162,0.028139859,0.804187979,,0.167672162,0.832327838,,0.826197311,0.072322999,0.10147969,,0.826197311,0.173802689
0.097334484,0.788250754,0.114414762,,0.097334484,0.902665516,,0.33787187,0.607735614,0.054392516,,0.33787187,0.66212813,,0.016279224,0.226738053,7.57E-01,,0.016279224,0.983720776
0.215845635,0.025083223,0.759071142,,0.215845635,0.784154365,,0.010402108,0.010453718,0.979144174,,0.010402108,0.989597892,,0.173950861,0.04765551,0.778393629,,0.173950861,0.826049139
0.010583028,0.984411385,0.005005587,,0.010583028,0.989416972,,0.160578213,0.620749903,0.218671884,,0.160578213,0.839421787,,0.226261296,0.763538984,0.010199721,,0.226261296,0.773738704
