PFS-Yes,PFS-No,,PFS-Yes,PFS-No,,,,,,,,,,,,,,,
0.870547985,0.129452015,,0.197924079,0.802075921,,,,,,,,,,,,,,,
0.853319001,0.146680999,,0.793367639,0.206632361,,,,,,,,,,,,,,,
0.862346082,0.137653918,,0.181565773,0.818434227,,,,,,,,,,,,,,,
0.866518751,0.133481249,,0.848949139,0.151050861,,,,,,,,,,,,,,,
0.953924452,0.046075548,,0.877225284,0.122774716,,,,,,,,,,,,,,,
0.070952928,0.929047072,,0.46000154,0.53999846,,,,,,,,,,,,,,,
0.887395103,0.112604897,,0.87496316,0.12503684,,,,,,,,,,,,,,,
0.950346026,0.049653974,,0.695924015,0.304075985,,,,,,,,,,,,,,,
0.210371093,0.789628907,,0.179737155,0.820262845,,,,,,,,,,,,,,,
0.967324709,0.032675291,,0.834141964,0.165858036,,,,,,,,,,,,,,,
0.230074332,0.769925668,,0.231689963,0.768310037,,,,,,,,,,,,,,,
0.8291547,0.1708453,,0.766553103,0.233446897,,,,,,,,,,,,,,,
0.799951888,0.200048112,,0.875580643,0.124419357,,,,,,,,,,,,,,,
0.856568952,0.143431048,,0.838404088,0.161595912,,,,,,,,,,,,,,,
0.79377609,0.20622391,,0.173417071,0.826582929,,,,,,,,,,,,,,,
0.983074365,0.016925635,,0.056639814,0.943360186,,,,,,,,,,,,,,,
0.947935487,0.052064513,,0.532030759,0.467969241,,,,,,,,,,,,,,,
0.941878452,0.058121548,,0.937143959,0.062856041,,,,,,,,,,,,,,,
0.892168529,0.107831471,,0.880157038,0.119842962,,,,,,,,,,,,,,,
0.938615852,0.061384148,,0.91208729,0.08791271,,,,,,,,,,,,,,,
0.800409345,0.199590655,,0.853574351,0.146425649,,,,,,,,,,,,,,,
0.905059794,0.094940206,,0.785776655,0.214223345,,,,,,,,,,,,,,,
0.844114726,0.155885274,,0.993053886,0.006946114,,,,,,,,,,,,,,,
0.978361051,0.021638949,,0.153872932,0.846127068,,,,,,,,,,,,,,,
0.967722281,0.032277719,,0.796547874,0.203452126,,,,,,,,,,,,,,,
0.869653109,0.130346891,,0.839809528,0.160190472,,,,,,,,,,,,,,,
0.050370394,0.949629606,,0.20623807,0.79376193,,,,,,,,,,,,,,,
0.168793629,0.831206371,,0.507821299,0.492178701,,,,,,,,,,,,,,,
0.796292749,0.203707251,,0.78060516,0.21939484,,,,,,,,,,,,,,,
0.172088795,0.827911205,,0.177504964,0.822495036,,,,,,,,,,,,,,,
0.811941494,0.188058506,,0.859064749,0.140935251,,,,,,,,,,,,,,,
0.171643086,0.828356914,,0.349773027,0.650226973,,,,,,,,,,,,,,,
0.052349978,0.947650022,,0.918764589,0.081235411,,,,,,,,,,,,,,,
0.989071195,0.010928805,,0.841006871,0.158993129,,,,,,,,,,,,,,,
0.18745767,0.81254233,,0.03236966,0.96763034,,,,,,,,,,,,,,,
0.764527935,0.235472065,,0.222006255,0.777993745,,,,,,,,,,,,,,,
0.104503249,0.895496751,,0.06564217,0.93435783,,,,,,,,,,,,,,,
0.173488537,0.826511463,,0.937551223,0.062448777,,,,,,,,,,,,,,,
0.921217469,0.078782531,,0.945088928,0.054911072,,,,,,,,,,,,,,,
0.765108875,0.234891125,,0.843441783,0.156558217,,,,,,,,,,,,,,,
0.056537064,0.943462936,,0.999751912,0.000248088,,,,,,,,,,,,,,,
0.139449162,0.860550838,,0.080916195,0.919083805,,,,,,,,,,,,,,,
0.101782971,0.898217029,,0.898679129,0.101320871,,,,,,,,,,,,,,,
0.916082236,0.083917764,,0.01301227,0.98698773,,,,,,,,,,,,,,,
